county,state,cases,population,num_physicians,phys_per_cap
Newaygo,Michigan,1,48980,19,3.879134340547162e-4
Oakland,Michigan,1620,1257584,1,7.951755111388186e-7
Oceana,Michigan,2,26467,15,5.667434918955681e-4
Ogemaw,Michigan,1,20997,8,3.810068104967376e-4
Ontonagon,Michigan,0,5720,1,1.7482517482517483e-4
Osceola,Michigan,2,23460,7,2.9838022165387895e-4
Oscoda,Michigan,2,8241,2,2.4268899405411964e-4
Otsego,Michigan,19,24668,19,7.702286362899302e-4
Ottawa,Michigan,31,291830,191,6.544906281054038e-4
Presque Isle,Michigan,0,12592,2,1.588310038119441e-4
Roscommon,Michigan,1,24019,10,4.1633706648902953e-4
Saginaw,Michigan,51,190539,158,8.292265625410021e-4
St Clair,Michigan,0,159128,NA,NA
St Joseph,Michigan,0,60964,NA,NA
Sanilac,Michigan,7,41170,12,2.914743745445713e-4
Schoolcraft,Michigan,1,8094,7,8.648381517173215e-4
Shiawassee,Michigan,8,68122,32,4.6974545668066115e-4
Tuscola,Michigan,9,52245,17,3.253899894726768e-4
Van Buren,Michigan,7,75677,38,5.021340697966357e-4
Washtenaw,Michigan,311,367601,636,0.001730136751532232
Wayne,Michigan,3735,1749343,1,5.716431826119863e-7
Wexford,Michigan,2,33631,29,8.622996640004758e-4
Aitkin,Minnesota,0,15886,13,8.183306055646482e-4
Anoka,Minnesota,23,356921,180,5.04313279409169e-4
Becker,Minnesota,0,34423,28,8.13409638904221e-4
Beltrami,Minnesota,4,47188,37,7.840976519454099e-4
Benton,Minnesota,1,40889,8,1.9565164225097213e-4
Big Stone,Minnesota,1,4991,7,0.001402524544179523
Blue Earth,Minnesota,9,67653,67,9.903478042363235e-4
Brown,Minnesota,2,25008,30,0.0011996161228406909
Carlton,Minnesota,1,35871,23,6.411864737531711e-4
Carver,Minnesota,10,105089,85,8.088382228396883e-4
Cass,Minnesota,1,29779,12,4.0296853487356864e-4
Chippewa,Minnesota,0,11800,10,8.47457627118644e-4
Chisago,Minnesota,3,56579,24,4.241856519203238e-4
Clay,Minnesota,6,64222,14,2.1799383388869858e-4
Clearwater,Minnesota,2,8818,4,4.536176003628941e-4
Cook,Minnesota,0,5463,NA,NA
Cottonwood,Minnesota,2,11196,8,7.145409074669524e-4
Crow Wing,Minnesota,0,65055,68,0.0010452693874413957
Dakota,Minnesota,47,429021,279,6.503178166103758e-4
Dodge,Minnesota,8,20934,12,5.732301519059903e-4
Douglas,Minnesota,1,38141,44,0.0011536142209171232
Faribault,Minnesota,2,13653,8,5.859518054640005e-4
Fillmore,Minnesota,8,21067,7,3.322732235249442e-4
Freeborn,Minnesota,0,30281,17,5.614081437204848e-4
Goodhue,Minnesota,3,46340,37,7.984462667242123e-4
Grant,Minnesota,0,5972,2,3.348961821835231e-4
Hennepin,Minnesota,204,1265843,1,7.899873839014791e-7
Houston,Minnesota,0,18600,13,6.989247311827957e-4
Hubbard,Minnesota,0,21491,14,6.514354846214695e-4
Isanti,Minnesota,2,40596,30,7.389890629618681e-4
Itasca,Minnesota,1,45130,42,9.306448038998449e-4
Jackson,Minnesota,1,9846,1,1.0156408693885842e-4
Kanabec,Minnesota,0,16337,14,8.569504805043766e-4
Kandiyohi,Minnesota,2,43199,42,9.722447278872196e-4
Kittson,Minnesota,0,4298,1,2.3266635644485808e-4
Koochiching,Minnesota,0,12229,4,3.270913402567667e-4
Lac qui Parle,Minnesota,1,6623,7,0.0010569228446323418
Lake,Minnesota,0,10641,9,8.457851705666761e-4
Lake of the Woods,Minnesota,0,3740,2,5.347593582887701e-4
Le Sueur,Minnesota,15,28887,4,1.384705923079586e-4
Lincoln,Minnesota,1,5639,2,3.546728143287817e-4
Lyon,Minnesota,1,25474,21,8.243699458271178e-4
McLeod,Minnesota,0,35893,33,9.193993257738277e-4
Mahnomen,Minnesota,1,5527,1,1.809299800977022e-4
Marshall,Minnesota,0,9336,1,1.0711225364181663e-4
Martin,Minnesota,25,19683,16,8.128842148046537e-4
Meeker,Minnesota,1,23222,13,5.5981396951167e-4
Mille Lacs,Minnesota,0,26277,20,7.611218936712714e-4
Morrison,Minnesota,0,33386,18,5.391481459294316e-4
Mower,Minnesota,13,40062,15,3.7441964954320803e-4
Murray,Minnesota,0,8194,1,1.22040517451794e-4
Nicollet,Minnesota,3,34274,31,9.044756958627531e-4
Nobles,Minnesota,0,21629,16,7.397475611447594e-4
Norman,Minnesota,0,6375,1,1.5686274509803922e-4
Olmsted,Minnesota,53,158293,352,0.002223724359257832
Otter Tail,Minnesota,1,58746,30,5.10673067102441e-4
Pennington,Minnesota,0,14119,9,6.374389121042566e-4
Pine,Minnesota,0,29579,6,2.0284661415193213e-4
