county,state,cases,population,num_physicians,yhat
San Benito,California,23,62808,19,50.12246402673262
San Bernardino,California,254,2180085,1740,1739.7661442446727
San Diego,California,849,3338330,2664,2664.0766356891213
San Francisco,California,437,881549,703,703.4996822108986
San Joaquin,California,161,762148,433,608.214490400048
San Luis Obispo,California,83,283111,235,225.93015082588684
San Mateo,California,388,766573,817,611.7457587626498
Santa Barbara,California,111,446499,342,356.3181452278705
Santa Clara,California,956,1927852,1538,1538.4774633623829
Santa Cruz,California,54,273213,276,218.03128206813943
Shasta,California,7,180080,130,143.70865688979129
Sierra,California,0,3005,2,2.39807037957476
Siskiyou,California,3,43539,33,34.74528660775557
Solano,California,54,447643,361,357.231087828281
Sonoma,California,91,494336,515,394.4933508011543
Stanislaus,California,44,550660,361,439.44140938989597
Sutter,California,14,96971,73,77.3854518395155
Tehama,California,0,65084,30,51.93877290657028
Trinity,California,0,12285,3,9.80375860668084
Tulare,California,59,466195,194,372.03608006850425
Tuolumne,California,1,54478,46,43.474901210806586
Ventura,California,160,846006,653,675.1354174850331
Yolo,California,28,220500,270,175.9648980686305
Yuba,California,7,78668,19,62.77916825969625
Adams,Colorado,214,517421,219,412.91579829282927
Alamosa,Colorado,4,16233,13,12.95436821019537
Arapahoe,Colorado,381,656590,538,523.9763828702136
Archuleta,Colorado,1,14029,12,11.195517256257673
Baca,Colorado,3,3581,3,2.857733786774448
Bent,Colorado,0,5577,4,4.450595177001144
Boulder,Colorado,114,326196,399,260.3131332897732
Broomfield,Colorado,21,70465,72,56.23295484084375
Chaffee,Colorado,17,20356,18,16.244632494716743
Cheyenne,Colorado,0,1831,1,1.461186976705952
Clear Creek,Colorado,6,9700,8,7.74085946152252
Conejos,Colorado,0,8205,5,6.547809472349719
Costilla,Colorado,3,3887,3,3.101929971849282
Crowley,Colorado,1,6061,5,4.83684012332866
Custer,Colorado,0,5068,3,4.044399561958365
Delta,Colorado,1,31162,24,24.868109540202553
Denver,Colorado,586,727211,933,580.3338298838406
Dolores,Colorado,0,2055,2,1.6399449683947196
Douglas,Colorado,158,351154,235,280.23028488159576
Eagle,Colorado,295,55127,42,43.99282057065484
Elbert,Colorado,5,26729,4,21.3304569636119
El Paso,Colorado,314,720403,419,574.9008637792998
Fremont,Colorado,2,47839,22,38.176801626781014
Garfield,Colorado,34,60061,52,47.93028454829939
Gilpin,Colorado,0,6243,2,4.982080991575783
Grand,Colorado,4,15734,12,12.556152862638694
Gunnison,Colorado,84,17462,14,13.935143084237758
Hinsdale,Colorado,1,820,0,0.6543819338606667
Huerfano,Colorado,1,6897,7,5.503990485167095
Jackson,Colorado,0,1392,2,1.1108532340659123
Jefferson,Colorado,356,582881,491,465.1546292568771
Kiowa,Colorado,0,1406,0,1.1220256085464602
Kit Carson,Colorado,4,7097,4,5.663595834889209
Lake,Colorado,2,8127,6,6.485563385958095
La Plata,Colorado,23,56221,63,44.8658618336348
Larimer,Colorado,107,356899,303,284.8149485523635
Las Animas,Colorado,0,14506,10,11.576176015344915
Lincoln,Colorado,1,5701,2,4.549550493828854
Logan,Colorado,6,22409,16,17.882981409614242
Mesa,Colorado,14,154210,168,123.06370490323586
Mineral,Colorado,2,769,1,0.6136825696815277
Moffat,Colorado,4,13283,5,10.60018930179419
Montezuma,Colorado,1,26183,26,20.89473435887053
Montrose,Colorado,13,42758,31,34.12202771709072
Morgan,Colorado,5,29068,20,23.197041528612022
Otero,Colorado,3,18278,12,14.586332911103982
Ouray,Colorado,0,4952,6,3.9518284591195383
Park,Colorado,3,18845,3,15.038814077566174
Phillips,Colorado,1,4265,5,3.4035840828240773
Pitkin,Colorado,33,17767,13,14.178541242563982
Prowers,Colorado,0,12172,5,9.713581584087848
Pueblo,Colorado,28,168424,107,134.4068571079865
Rio Blanco,Colorado,0,6324,9,5.046721158213239
Rio Grande,Colorado,5,11267,13,8.991367376595282
Routt,Colorado,19,25638,31,20.45980978087777
Saguache,Colorado,1,6824,5,5.445734532518523
San Juan,Colorado,0,728,1,0.5809634729884943
San Miguel,Colorado,4,8179,6,6.527060776885845
Sedgwick,Colorado,0,2248,2,1.7939641308765595
Summit,Colorado,23,31011,19,24.74760750116236
Teller,Colorado,7,25388,12,20.260303093725128
Washington,Colorado,1,4908,4,3.9167152821806734
Weld,Colorado,293,324492,149,258.9532957101408
Yuma,Colorado,2,10019,5,7.995429994329292
Fairfield,Connecticut,1986,943332,871,752.8041688203053
Hartford,Connecticut,469,891720,826,711.6164122710167
Litchfield,Connecticut,131,180333,114,143.91055765718977
Middlesex,Connecticut,66,162436,116,129.6282729373064
New Haven,Connecticut,611,854757,756,682.1189495621243
New London,Connecticut,29,265206,173,211.64148189201458
Tolland,Connecticut,61,150721,76,120.27938957733359
Windham,Connecticut,19,116782,53,93.19515975623948
Kent,Delaware,41,180786,82,144.27206377431034
New Castle,Delaware,226,558753,469,445.89983986640135
Sussex,Delaware,101,234225,140,186.91781519331056
District of Columbia,District of Columbia,586,705749,563,563.2065798051606
Alachua,Florida,92,269043,422,214.70351052643335
Baker,Florida,9,29210,10,23.310361326914723
Bay,Florida,13,174705,100,139.4192631160095
Bradford,Florida,3,28201,8,22.50515233756666
Brevard,Florida,47,601942,431,480.3658171121432
Broward,Florida,1348,1952778,1558,1558.36907809825
Calhoun,Florida,1,14105,6,11.256167289152078
Charlotte,Florida,26,188910,117,150.7552330800226
Citrus,Florida,23,149657,75,119.43028911681195
Clay,Florida,53,219252,104,174.9689606863645
Collier,Florida,158,384902,279,307.16209159370527
Columbia,Florida,3,71686,32,57.207345500897254
DeSoto,Florida,7,38001,9,30.32581447395024
Dixie,Florida,0,16826,13,13.427598072121436
Duval,Florida,239,957755,807,764.3141086155156
Escambia,Florida,96,318316,213,254.02468251072193
Flagler,Florida,24,115081,56,91.8377162568529
Franklin,Florida,0,12125,3,9.67607432690315
Gadsden,Florida,1,45660,9,36.437901341558586
Gilchrist,Florida,0,18582,7,14.828933042681596
Glades,Florida,3,13811,11,11.02154742506057
Gulf,Florida,1,13639,7,10.884286824299553
Hamilton,Florida,0,14428,12,11.51392992895329
Hardee,Florida,1,26937,3,21.4964465273229
Hendry,Florida,4,42022,13,33.534680030113336
Hernando,Florida,28,193920,106,154.75334709056156
Highlands,Florida,21,106221,61,84.76719926416327
Hillsborough,Florida,362,1471968,1175,1174.6698370988022
Holmes,Florida,1,19617,7,15.654890727493534
Indian River,Florida,35,159923,95,127.62283171804805
Jackson,Florida,4,46414,20,37.03961351001095
Jefferson,Florida,0,14246,3,11.368689060706167
Lafayette,Florida,0,8422,7,6.720981276798213
Lake,Florida,71,367118,243,292.96998389641493
Lee,Florida,235,770577,479,614.9410578640865
Leon,Florida,32,293582,251,234.2862889105881
Levy,Florida,2,41503,7,33.12050414758445
Liberty,Florida,0,8354,7,6.666715457892694
Madison,Florida,2,18493,2,14.757908662055256
Manatee,Florida,70,403253,214,321.80668045745784
Marion,Florida,30,365579,204,291.74182073030323
Martin,Florida,33,161000,106,128.48230652630164
Miami-Dade,Florida,2415,2716940,2168,2168.19079437
Monroe,Florida,30,74228,59,59.23592949586532
Nassau,Florida,11,88625,39,70.72512059561168
Okaloosa,Florida,44,210738,161,168.1745609486941
Okeechobee,Florida,1,42168,20,33.65119193541048
Orange,Florida,458,1393452,1112,1112.0119689048947
Osceola,Florida,140,375751,144,299.85934881717
Palm Beach,Florida,616,1496770,1194,1194.4624965178416
Pasco,Florida,51,553947,308,442.06452331257896
Pinellas,Florida,233,974996,856,778.0728877883105
